,game_date,play_id,play_type_nfl,yardline_100,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,punt_blocked,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,kickoff_inside_twenty,kickoff_out_of_bounds,fumble_forced,fumble_not_forced,fumble_lost,fumble,safety,own_kickoff_recovery_td,qb_hit,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,drive_ended_with_score
135626,2019-12-12,3161.0,PUNT,72.0,2019_15_NYJ_BAL,BAL,BAL,NYJ,35.0,13.0,42,21,0.99988353,Half2,733.0,punt,0.000116467476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138710,2019-12-22,3189.0,PUNT,72.0,2019_16_NYG_WAS,NYG,WAS,NYG,21.0,35.0,35,41,0.94154644,Half2,884.0,punt,0.05845356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142701,2020-01-12,346.0,PUNT,75.0,2019_19_HOU_KC,KC,KC,HOU,0.0,13.0,51,31,0.32826692,Half1,3313.0,punt,0.6717331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143930,2020-09-13,675.0,PUNT,64.0,2020_01_ARI_SF,SF,SF,ARI,10.0,0.0,20,24,0.7812631,Half1,3134.0,punt,0.21873689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152133,2020-09-27,229.0,PUNT,57.0,2020_03_TB_DEN,DEN,DEN,TB,0.0,0.0,10,28,0.49240398,Half1,3351.0,punt,0.507596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161548,2020-10-25,3082.0,PUNT,68.0,2020_07_GB_HOU,GB,HOU,GB,10.0,28.0,20,35,0.9817215,Half2,737.0,punt,0.01827848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161694,2020-10-25,2276.0,PUNT,66.0,2020_07_JAX_LAC,LAC,LAC,JAX,16.0,20.0,39,29,0.6464087,Half2,1710.0,punt,0.35359132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
163252,2020-11-01,504.0,PUNT,54.0,2020_08_IND_DET,IND,DET,IND,0.0,0.0,21,41,0.37618837,Half1,3089.0,punt,0.6238116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166293,2020-11-08,2739.0,PUNT,67.0,2020_09_DET_MIN,MIN,MIN,DET,27.0,10.0,34,20,0.9678333,Half2,1089.0,punt,0.03216672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166323,2020-11-08,3456.0,PUNT,58.0,2020_09_DET_MIN,MIN,MIN,DET,34.0,13.0,34,20,0.99909353,Half2,427.0,punt,0.00090646744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
