,game_date,play_id,play_type_nfl,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,punt_inside_twenty,return_touchdown,ret_team,points_scored_on_next_resulting_poss,points_scored_on_play,points_scored_on_next_drive,points_scored_on_play_and_next_drive,points_scored_after_ret,total_poss_before_ret,total_poss_after_ret,ret_team_win,ret_team_losing_before_block,ret_team_winning_before_block,ret_team_tied_before_block,score_difference_at_block,final_score_difference,points_per_drive_after_ret,time_to_score_each_point
41122,12/25/21,2288,PUNT,2021_16_IND_ARI,IND,ARI,IND,6,12,16,22,0.7116221,Half2,1650,punt,0.28837788,48,0,0,,,,,,,,,,,,,,,,
41495,12/26/21,2568,PUNT,2021_16_LA_MIN,MIN,MIN,LA,10,19,23,30,0.35968894,Half2,1342,punt,0.64031106,61,0,1,,,,,,,,,,,,,,,,
42002,12/26/21,2496,PUNT,2021_16_NYG_PHI,NYG,PHI,NYG,10,3,34,10,0.17826015,Half2,1502,punt,0.82173985,39,0,0,,,,,,,,,,,,,,,,
42260,12/26/21,3997,PUNT,2021_16_PIT_KC,KC,KC,PIT,36,10,36,10,0.99987376,Half2,148,punt,0.000126243,20,0,0,,,,,,,,,,,,,,,,
42532,12/26/21,2222,PUNT,2021_16_TB_CAR,CAR,CAR,TB,6,19,6,32,0.088432774,Half2,1663,punt,0.9115672,20,0,0,,,,,,,,,,,,,,,,
42646,12/26/21,658,PUNT,2021_16_WAS_DAL,WAS,DAL,WAS,7,0,56,14,0.27996972,Half1,3082,punt,0.7200303,21,0,0,,,,,,,,,,,,,,,,
44216,1/2/22,577,PUNT,2021_17_KC_CIN,CIN,CIN,KC,0,7,34,31,0.373063,Half1,3113,punt,0.62693703,29,0,0,,,,,,,,,,,,,,,,
44573,1/2/22,660,PUNT,2021_17_LV_IND,IND,IND,LV,0,7,20,23,0.35451648,Half1,2877,punt,0.6454835,41,0,0,,,,,,,,,,,,,,,,
44968,1/2/22,2097,PUNT,2021_17_MIN_GB,MIN,GB,MIN,20,3,37,10,0.053397425,Half2,1712,punt,0.9466026,21,0,0,,,,,,,,,,,,,,,,
46338,1/9/22,1929,PUNT,2021_18_GB_DET,DET,DET,GB,17,13,37,30,0.61872834,Half2,1785,punt,0.38127166,23,0,0,,,,,,,,,,,,,,,,
47644,1/9/22,3133,PUNT,2021_18_PIT_BAL,BAL,BAL,PIT,10,6,13,16,0.6854381,Half2,499,punt,0.3145619,23,0,0,,,,,,,,,,,,,,,,
47941,1/9/22,1063,PUNT,2021_18_SF_LA,SF,LA,SF,10,0,24,27,0.13728641,Half1,2308,punt,0.8627136,31,0,0,,,,,,,,,,,,,,,,
48889,1/15/22,3170,PUNT,2021_19_NE_BUF,NE,BUF,NE,40,10,47,17,7.21E-05,Half2,632,punt,0.9999279,52,0,0,,,,,,,,,,,,,,,,
49060,1/16/22,3334,PUNT,2021_19_PHI_TB,TB,TB,PHI,31,0,31,15,0.99982786,Half2,784,punt,0.000172138,31,0,0,,,,,,,,,,,,,,,,
49107,1/16/22,118,PUNT,2021_19_PIT_KC,PIT,KC,PIT,0,0,42,21,0.35344067,Half1,3512,punt,0.64655936,21,0,0,,,,,,,,,,,,,,,,
49124,1/16/22,499,PUNT,2021_19_PIT_KC,PIT,KC,PIT,0,0,42,21,0.3379735,Half1,3106,punt,0.6620265,48,0,0,,,,,,,,,,,,,,,,
49606,1/23/22,3078,PUNT,2021_20_BUF_KC,BUF,KC,BUF,23,21,42,36,0.27267495,Half2,704,punt,0.7273251,45,0,0,,,,,,,,,,,,,,,,
49881,1/23/22,1208,PUNT,2021_20_LA_TB,TB,TB,LA,3,17,27,30,0.13366272,Half1,2610,punt,0.8663373,21,0,0,,,,,,,,,,,,,,,,
49935,1/23/22,2481,PUNT,2021_20_LA_TB,TB,TB,LA,3,20,27,30,0.041715167,Half2,1539,punt,0.95828485,33,0,0,,,,,,,,,,,,,,,,
50564,2/13/22,633,PUNT,2021_22_LA_CIN,LA,CIN,LA,0,7,20,23,0.65873283,Half1,2843,punt,0.34126717,20,0,0,,,,,,,,,,,,,,,,
AVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
