,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
32194,2017-12-03,3079.0,PUNT,0.0,2017_13_DEN_MIA,DEN,MIA,DEN,35,9,26.0,9.0,0.025673151,Half2,1029.0,punt,0.97432685,27.0,0.0
32436,2017-12-03,120.0,PUNT,0.0,2017_13_HOU_TEN,HOU,TEN,HOU,24,13,0.0,0.0,0.4033366,Half1,3497.0,punt,0.59666336,25.0,0.0
32796,2017-12-03,308.0,PUNT,0.0,2017_13_KC_NYJ,NYJ,NYJ,KC,38,31,0.0,7.0,0.33226654,Half1,3355.0,punt,0.66773343,24.0,0.0
33081,2017-12-03,2462.0,PUNT,0.0,2017_13_LA_ARI,ARI,ARI,LA,16,32,13.0,19.0,0.22239318,Half2,1402.0,punt,0.77760684,30.0,0.0
34083,2017-12-03,1489.0,PUNT,0.0,2017_13_SF_CHI,SF,CHI,SF,14,15,13.0,6.0,0.32386616,Half1,2172.0,punt,0.6761339,61.0,1.0
34426,2017-11-30,1561.0,PUNT,0.0,2017_13_WAS_DAL,WAS,DAL,WAS,38,14,16.0,0.0,0.17141554,Half1,2046.0,punt,0.82858443,83.0,1.0
35422,2017-12-10,3592.0,PUNT,0.0,2017_14_GB_CLE,CLE,CLE,GB,21,27,21.0,14.0,0.9049558,Half2,177.0,punt,0.095044196,65.0,0.0
35764,2017-12-10,2928.0,PUNT,0.0,2017_14_MIN_CAR,CAR,CAR,MIN,31,24,24.0,13.0,0.88996434,Half2,930.0,punt,0.11003566,29.0,0.0
36259,2017-12-10,1956.0,PUNT,0.0,2017_14_NYJ_DEN,NYJ,DEN,NYJ,23,0,13.0,0.0,0.08210072,Half2,1682.0,punt,0.91789925,24.0,0.0
36821,2017-12-10,2768.0,PUNT,0.0,2017_14_SEA_JAX,SEA,JAX,SEA,30,24,17.0,10.0,0.17650244,Half2,1258.0,punt,0.82349753,72.0,0.0
37402,2017-12-10,3469.0,PUNT,0.0,2017_14_WAS_LAC,WAS,LAC,WAS,30,13,30.0,6.0,0.00032277574,Half2,405.0,punt,0.99967724,47.0,0.0
38860,2017-12-17,849.0,PUNT,0.0,2017_15_HOU_JAX,HOU,JAX,HOU,45,7,7.0,0.0,0.18705785,Half1,2809.0,punt,0.81294215,26.0,0.0
39036,2017-12-17,782.0,PUNT,0.0,2017_15_LA_SEA,SEA,SEA,LA,7,42,0.0,6.0,0.23856962,Half1,3077.0,punt,0.7614304,53.0,0.0
39063,2017-12-17,1385.0,PUNT,0.0,2017_15_LA_SEA,SEA,SEA,LA,7,42,0.0,13.0,0.11089551,Half1,2431.0,punt,0.8891045,26.0,0.0
