player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Brady Breeze,43073,S,DET,1,0,,,100.0,,,0,0,0,,11,61.6,62.1,70.5,,,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Devin White,43089,LB,TB,17,8,3.8,75.4,78.1,11.3,8.5,1,1,5,8.8,30,47.6,45.5,10.2,71.0,42.6,61.0,0,40,13.6,8,5,4,120.5,43,514,658,23,43,57,4,440,286,0.9,10.2
Jeremy Chinn,43179,S,CAR,11,2,8.5,79.1,94.7,10.8,8.5,1,0,4,9.3,5,58.0,54.9,84.7,67.8,43.2,55.0,0,48,9.3,4,4,2,101.9,34,396,418,9,37,43,0,364,101,1.0,10.7
Nolan Turner,43187,S,TB,1,0,-6.0,100.0,100.0,1.0,1.0,0,0,0,0.0,30,69.4,70.2,63.1,,,76.7,0,-5,0.0,0,0,0,79.2,1,1,1,1,1,1,0,-5,1,-5.0,-5.0
Mack Wilson,43190,LB,NE,12,4,4.9,77.8,79.7,9.4,7.3,0,1,2,11.1,19,44.9,47.1,23.7,62.1,56.0,31.7,0,21,43.8,7,2,2,118.3,14,137,172,2,5,18,1,143,98,1.1,10.2
Richie Grant,43196,S,ATL,17,6,10.6,64.6,96.7,18.7,12.1,1,2,5,10.4,2,69.0,64.9,52.5,60.8,57.1,55.8,2,68,10.5,6,5,2,93.8,31,606,627,12,45,48,3,396,197,0.7,12.8
Joe Bachie,43250,LB,CIN,2,0,,,100.0,,,0,0,0,,7,65.8,78.4,70.3,,73.1,78.3,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Greedy Williams,43254,CB,CLV,6,3,17.0,87.5,100.0,10.0,8.8,0,0,1,12.5,8,49.6,52.2,79.9,,68.3,62.2,0,41,11.1,1,0,1,158.3,7,77,77,1,5,8,2,134,36,1.9,19.1
Damar Hamlin,43291,S,BUF,15,5,7.2,75.0,95.4,32.2,24.2,0,1,4,20.0,4,62.8,61.4,57.7,74.6,53.2,45.6,0,48,17.0,8,2,2,133.3,15,518,543,9,34,20,2,170,93,0.4,11.3
Myles Bryant,43336,CB,NE,17,8,8.9,72.7,97.6,9.9,7.2,0,1,5,7.6,19,55.9,58.4,58.1,45.9,78.0,84.7,1,25,2.0,1,3,3,102.3,48,497,509,10,42,66,3,487,163,1.0,10.1
DaMarcus Fields,43347,CB,NO,1,0,13.0,100.0,100.0,1.0,1.0,0,0,0,0.0,20,52.2,37.0,60.0,,,,0,13,,0,0,0,118.8,1,1,1,0,0,1,0,13,0,13.0,13.0
Christian Holmes,43393,CB,WAS,4,1,10.7,85.7,100.0,7.3,6.3,0,0,0,0.0,32,48.9,47.1,0.0,,55.8,30.1,0,55,33.3,2,0,1,156.3,6,44,44,2,3,7,1,84,28,1.9,14.0
Josh Metellus,43395,S,MIN,12,1,8.8,64.7,98.0,13.2,8.5,0,1,3,17.6,18,80.7,85.1,84.0,79.4,72.5,79.4,1,21,4.5,1,3,0,68.3,11,148,151,8,20,17,1,70,24,0.5,6.4
Milo Eifler,43421,LB,WAS,1,0,,,100.0,,,0,0,0,,32,60.0,50.8,67.7,,51.5,81.9,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Carter Coughlin,43498,LB,NYG,2,0,,,25.0,,,0,0,0,,21,60.0,31.1,69.3,54.2,46.1,22.3,0,,,0,0,0,0.0,0,1,4,0,0,0,0,0,0,0.0,
Nick Niemann,43500,LB,LAC,1,0,,,100.0,,,0,0,0,,27,61.4,67.0,68.0,,63.3,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Alex Highsmith,43507,ED,PIT,17,0,1.5,80.0,10.4,7.3,5.8,1,0,1,10.0,25,78.4,78.0,65.1,70.7,73.3,49.3,0,14,26.7,4,1,3,117.9,8,61,587,23,11,10,1,43,35,0.7,5.4
William Kwenkeu,43510,LB,MIN,1,0,,,100.0,,,0,0,0,,18,65.4,74.9,69.3,,66.4,73.2,0,,,0,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Sam Franklin,43580,S,CAR,4,0,10.3,62.5,97.2,13.2,8.3,0,0,0,0.0,5,73.4,75.9,79.6,56.8,67.6,68.6,0,8,0.0,0,0,0,66.7,5,70,72,2,3,8,0,14,4,0.2,2.8
Jake Hansen,43645,LB,HST,11,0,2.3,100.0,87.8,8.8,8.8,0,0,0,0.0,13,43.7,69.1,78.0,78.3,80.0,58.9,0,20,25.0,1,0,0,149.5,8,72,82,1,3,8,1,83,65,1.2,10.4
Jeffery Simmons,43742,DI,TEN,15,3,,,1.0,,,1,0,0,,31,60.4,81.1,51.9,79.3,73.0,49.4,0,,23.1,3,0,4,0.0,0,6,590,10,7,0,0,0,0,0.0,
Timmy Horne,43918,DI,ATL,17,1,,,0.5,,,0,0,0,,2,59.3,47.4,68.1,48.2,51.3,59.8,0,,33.3,1,0,1,0.0,0,1,185,0,1,0,0,0,0,0.0,
Tyler Hall,43958,CB,LV,7,2,5.0,50.0,96.8,16.0,8.0,0,0,4,22.2,23,86.3,86.9,80.9,62.2,77.4,75.5,0,10,0.0,0,4,0,56.3,9,151,156,3,8,18,0,43,31,0.3,4.8
Patrick Jones II,43974,ED,MIN,16,0,3.0,50.0,9.8,17.0,8.5,0,0,0,0.0,18,54.6,62.5,87.7,59.5,62.7,67.8,0,13,0.0,0,0,0,70.8,1,17,173,4,2,2,0,13,12,0.8,13.0
Byron Murphy Jr.,44027,CB,ARZ,9,0,8.1,64.3,96.8,9.6,6.2,0,1,6,10.7,1,63.9,66.7,86.7,63.7,73.6,56.8,0,41,6.7,2,5,0,105.5,36,363,375,7,28,56,4,350,155,1.0,9.7
Benito Jones,44035,DI,DET,17,0,,,0.6,,,0,0,0,,11,60.0,53.3,63.6,65.1,46.3,28.8,0,,100.0,1,0,1,0.0,0,1,170,1,0,0,0,0,0,0.0,
Adetokunbo Ogundeji,44047,ED,ATL,16,1,3.2,100.0,15.2,7.2,7.2,0,0,0,0.0,2,41.0,43.8,60.6,44.2,53.8,29.0,0,12,30.0,3,0,2,135.4,5,39,257,4,6,5,1,35,19,1.0,7.0
Julian Okwara,44152,ED,DET,10,1,4.4,70.0,29.3,5.6,3.9,0,0,0,0.0,11,31.3,46.7,58.1,53.7,64.4,29.2,0,19,50.0,5,0,2,99.2,7,43,147,3,4,10,0,93,52,2.4,13.3
Rodarius Williams,44160,CB,NYG,3,0,10.9,66.7,98.7,7.0,4.7,0,0,1,6.7,21,63.4,58.1,80.3,58.5,41.3,31.5,1,37,20.0,3,1,1,63.5,10,76,77,5,12,15,0,121,61,1.7,12.1
Jamir Jones,44287,ED,PIT,13,0,7.0,100.0,10.6,2.5,2.5,0,0,0,0.0,25,29.9,57.7,79.5,58.1,69.5,76.2,0,13,0.0,0,0,0,112.5,2,5,47,0,1,2,0,22,8,4.4,11.0
Justin Madubuike,44304,DI,BLT,17,1,,,2.6,,,0,0,0,,3,54.4,63.6,64.6,64.1,63.3,28.4,0,,60.0,3,0,2,0.0,0,11,419,6,1,0,0,0,0,0.0,
Boogie Basham,44320,ED,BUF,15,0,,,5.4,,,0,0,0,,4,59.0,66.4,72.8,68.8,56.9,44.7,1,,75.0,3,0,1,0.0,0,14,260,3,1,0,0,0,0,0.0,
Saivion Smith,44429,CB,DET,1,0,12.0,100.0,100.0,1.0,1.0,0,0,0,0.0,11,60.0,74.6,62.6,,62.2,73.3,0,23,,0,0,0,118.8,1,1,1,0,0,1,0,23,11,23.0,23.0
Elijah Riley,44440,S,PIT,3,1,0.0,100.0,100.0,18.0,18.0,0,0,0,0.0,25,57.9,62.0,70.5,,62.7,76.1,0,2,0.0,0,0,0,79.2,1,19,19,0,1,1,0,2,2,0.1,2.0
Innis Gaines,44443,CB,GB,3,0,5.0,80.0,100.0,8.3,6.6,0,0,0,0.0,12,51.1,49.7,74.4,,51.1,34.4,0,19,0.0,0,0,0,90.0,4,33,33,0,1,5,0,28,15,0.8,7.0
